                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72494,                0.66899,                 1.2311,                  0.866,                0.80181,                0.87144,                 0.6068,                 1.0423,                0.79973,                  1.652,             0.00020727,             0.00020727,             0.00020727
                      2,                0.67735,                 0.6057,                    1.2,                  0.859,                0.80962,                0.86838,                0.60381,                 1.0607,                0.78729,                 1.6734,             0.00041355,             0.00041355,             0.00041355
                      3,                0.70512,                0.62947,                 1.2144,                0.81148,                0.81223,                0.84529,                0.58151,                 1.0955,                0.81789,                 1.7259,             0.00061776,             0.00061776,             0.00061776
                      4,                0.70133,                0.64944,                 1.2262,                0.84508,                0.77865,                0.85422,                0.56505,                  1.137,                0.84035,                 1.7649,             0.00061572,             0.00061572,             0.00061572
                      5,                0.71404,                0.64531,                 1.2211,                 0.8595,                0.78503,                0.84596,                0.58072,                 1.0886,                0.86991,                 1.6998,             0.00061262,             0.00061262,             0.00061262
                      6,                0.71056,                0.64233,                 1.2236,                0.85132,                0.77762,                0.85005,                0.58299,                  1.083,                0.82584,                 1.7079,             0.00060953,             0.00060953,             0.00060953
                      7,                0.69456,                0.63115,                 1.2147,                0.82678,                0.79687,                0.84843,                0.58962,                 1.0547,                0.83507,                 1.6631,             0.00060644,             0.00060644,             0.00060644
                      8,                0.69428,                0.62982,                 1.2085,                0.85172,                0.77545,                0.84835,                0.57357,                 1.1009,                0.83837,                 1.7268,             0.00060334,             0.00060334,             0.00060334
                      9,                0.70706,                0.64023,                 1.2173,                0.84005,                0.79168,                0.84966,                0.57533,                 1.0993,                 0.8147,                 1.6936,             0.00060025,             0.00060025,             0.00060025
                     10,                0.71628,                0.64157,                 1.2247,                0.83103,                0.79792,                0.85794,                0.58227,                 1.0898,                0.80203,                 1.7232,             0.00059716,             0.00059716,             0.00059716
                     11,                0.69893,                0.64334,                 1.2183,                0.81629,                0.79817,                0.83908,                0.57887,                 1.0755,                0.85905,                 1.7274,             0.00059406,             0.00059406,             0.00059406
                     12,                 0.6974,                0.63373,                 1.2112,                0.86374,                0.79383,                0.85833,                0.59594,                 1.0558,                0.80979,                 1.6871,             0.00059097,             0.00059097,             0.00059097
                     13,                 0.6892,                0.63111,                 1.2109,                0.82559,                0.78242,                0.84084,                0.58359,                  1.077,                0.81773,                 1.7016,             0.00058787,             0.00058787,             0.00058787
                     14,                0.69697,                0.63942,                 1.2164,                0.83963,                0.78391,                0.84573,                0.57629,                 1.1024,                0.80725,                 1.7177,             0.00058478,             0.00058478,             0.00058478
                     15,                0.74324,                0.69764,                 1.2456,                0.82798,                0.76401,                0.83464,                0.56804,                 1.0939,                0.87095,                 1.6927,             0.00058169,             0.00058169,             0.00058169
                     16,                0.74072,                0.69051,                  1.243,                0.82606,                0.79895,                 0.8473,                0.58232,                 1.0833,                 0.8041,                 1.7073,             0.00057859,             0.00057859,             0.00057859
                     17,                0.72631,                0.67634,                 1.2325,                0.84941,                0.73797,                0.83506,                 0.5595,                 1.1147,                0.90709,                  1.753,              0.0005755,              0.0005755,              0.0005755
                     18,                0.72475,                0.68425,                 1.2291,                0.88203,                0.75579,                0.84078,                0.57776,                 1.0651,                0.83755,                 1.6967,             0.00057241,             0.00057241,             0.00057241
                     19,                0.72132,                0.67739,                 1.2302,                 0.8417,                0.79233,                0.85634,                0.59207,                  1.071,                0.81291,                  1.694,             0.00056931,             0.00056931,             0.00056931
                     20,                0.73439,                0.66657,                 1.2408,                0.87882,                0.76878,                0.86542,                0.59853,                 1.0891,                 0.8368,                 1.6964,             0.00056622,             0.00056622,             0.00056622
                     21,                 0.7185,                0.66424,                 1.2291,                0.86779,                0.74946,                0.84296,                0.58599,                  1.071,                0.83858,                 1.6827,             0.00056313,             0.00056313,             0.00056313
                     22,                0.71084,                0.64566,                 1.2207,                0.86035,                0.74843,                0.83088,                0.55954,                 1.1046,                0.87926,                 1.7258,             0.00056003,             0.00056003,             0.00056003
                     23,                0.70451,                0.64923,                  1.219,                0.83108,                0.75857,                0.83601,                0.57582,                 1.0741,                0.84712,                 1.7231,             0.00055694,             0.00055694,             0.00055694
                     24,                0.71484,                0.65379,                 1.2193,                  0.859,                0.79112,                0.85465,                0.58442,                 1.0878,                0.79535,                 1.6906,             0.00055384,             0.00055384,             0.00055384
                     25,                0.71144,                0.65524,                 1.2238,                0.84888,                0.81736,                0.86496,                0.60398,                 1.0597,                0.79719,                 1.6719,             0.00055075,             0.00055075,             0.00055075
                     26,                0.70957,                0.64299,                 1.2214,                 0.8428,                0.79627,                0.84466,                0.58805,                 1.0776,                 0.8197,                  1.691,             0.00054766,             0.00054766,             0.00054766
                     27,                0.69691,                0.63357,                 1.2041,                0.86018,                0.79342,                0.85173,                0.58328,                  1.079,                0.80612,                 1.6813,             0.00054456,             0.00054456,             0.00054456
                     28,                  0.711,                0.63994,                 1.2227,                0.80754,                0.79246,                0.82964,                0.57572,                 1.0869,                0.82244,                 1.7154,             0.00054147,             0.00054147,             0.00054147
                     29,                0.69591,                0.63109,                 1.2139,                0.85783,                0.78955,                0.85964,                0.58427,                 1.0864,                0.78063,                 1.7156,             0.00053838,             0.00053838,             0.00053838
                     30,                0.70025,                0.63018,                 1.2174,                0.79716,                0.76953,                0.81986,                0.56455,                 1.0791,                0.95217,                 1.6777,             0.00053528,             0.00053528,             0.00053528
                     31,                0.69123,                0.61676,                 1.2066,                0.84619,                0.81308,                0.86689,                0.60412,                 1.0517,                0.77861,                 1.6404,             0.00053219,             0.00053219,             0.00053219
                     32,                0.68064,                0.62078,                 1.2006,                0.84198,                0.81543,                0.86712,                0.58632,                 1.0877,                0.77145,                 1.6928,             0.00052909,             0.00052909,             0.00052909
                     33,                0.68174,                0.61202,                 1.1986,                 0.8614,                0.79401,                0.85296,                0.58751,                 1.0851,                0.82292,                 1.7253,               0.000526,               0.000526,               0.000526
                     34,                 0.6906,                0.61755,                 1.2061,                0.85626,                0.77955,                0.85597,                0.59305,                 1.0758,                0.81722,                 1.6986,             0.00052291,             0.00052291,             0.00052291
                     35,                0.70517,                 0.6432,                 1.2217,                0.85292,                0.81946,                 0.8684,                0.59918,                  1.071,                0.77593,                 1.6733,             0.00051981,             0.00051981,             0.00051981
                     36,                0.70436,                0.63751,                 1.2168,                0.87272,                0.80789,                0.86886,                0.58686,                 1.1038,                0.79656,                 1.7161,             0.00051672,             0.00051672,             0.00051672
                     37,                0.71366,                0.64404,                 1.2239,                0.87164,                0.78995,                0.85314,                0.59108,                 1.0695,                0.79497,                 1.7033,             0.00051363,             0.00051363,             0.00051363
